Classifier,Cell_Type_1,Cell_Type_2,Correlation,P_value,Correlation_Variance,CV_Cell_Type_1,CV_Cell_Type_2,FDR_corrected_pvalue
Fast,Basophils,Central Memory and Effector Memory CD4+ T cells,0.6,0.0,0.0,0.5220159385187412,0.3816724709458864,0.0
Fast,Basophils,Central Memory and Effector Memory CD8+ T cells,-0.016666666666666604,0.6830636447614804,1.2158648638808308e-35,0.5220159385187412,0.588977698000442,0.7041893244963716
Fast,Basophils,Classical Monocytes,0.2333333333333334,5.789496437813568e-09,7.003381615953586e-33,0.5220159385187412,0.322539260876773,8.952829543010673e-09
Fast,Basophils,Eosinophils,0.3333333333333334,0.0,1.2450456206139707e-32,0.5220159385187412,0.8533588143356079,0.0
Fast,Basophils,Innate Lymphoid Cell Precursors,0.033333333333333305,0.4140431958714845,4.863459455523323e-35,0.5220159385187412,2.1510088216297443,0.43736957310368085
Fast,Basophils,Low density Neutrophils,0.3666666666666667,0.0,0.0,0.5220159385187412,1.2153080008256492,0.0
Fast,Basophils,MAIT/NKT-like cells,0.3500000000000001,0.0,1.2450456206139707e-32,0.5220159385187412,0.8509500015214381,0.0
Fast,Basophils,Memory B cells,0.5396407334626633,0.0,0.0,0.5220159385187412,4.936668335051579,0.0
Fast,Basophils,NK cell,-0.4333333333333331,0.0,2.801352646381434e-32,0.5220159385187412,0.5405390684327066,0.0
Fast,Basophils,Naive B cells,0.04999999999999989,0.2202863591873987,4.863459455523323e-35,0.5220159385187412,0.38561806122690506,0.24476262131933188
Fast,Basophils,Naive CD4+ T cells,0.6,0.0,0.0,0.5220159385187412,0.5118875243840818,0.0
Fast,Basophils,Naive CD8+ T cells,0.5,0.0,0.0,0.5220159385187412,0.7128846559749665,0.0
Fast,Basophils,Neutrophils,-0.4166666666666666,0.0,0.0,0.5220159385187412,0.0877853117203214,0.0
Fast,Basophils,Non-Classical Monocytes,0.48333333333333334,0.0,3.112614051534927e-33,0.5220159385187412,0.4851705394233283,0.0
Fast,Basophils,Plasmablast B cells,-0.21666666666666656,6.940806440702829e-08,7.781535128837317e-34,0.5220159385187412,1.2120869810854338,1.0463527297541954e-07
